"country_code","year","EP_Count","EP_Count_Binary","Market_Access_Green","Standards_NonRegression","Enforcement_DSM","Regulatory_Space","Cooperation_Assistance","TBT_SPS_Environment","MEA_Compliance","Climate_Energy","Biodiversity_Resources","Transparency_Participation"
110,2012,9,9,0,0,0,2,2,0,0,0,1,1
110,2013,9,9,0,0,0,2,2,0,0,0,1,1
110,2014,9,9,0,0,0,2,2,0,0,0,1,1
110,2015,9,9,0,0,0,2,2,0,0,0,1,1
322,2014,36,36,1,0,2,2,4,3,0,8,2,0
322,2015,36,36,1,0,2,2,4,3,0,8,2,0
111,2002,2,2,0,0,0,2,0,0,0,0,0,0
111,2003,2,2,0,0,0,2,0,0,0,0,0,0
111,2004,2,2,0,0,0,2,0,0,0,0,0,0
111,2005,2,2,0,0,0,2,0,0,0,0,0,0
111,2006,2,2,0,0,0,2,0,0,0,0,0,0
111,2007,2,2,0,0,0,2,0,0,0,0,0,0
111,2008,2,2,0,0,0,2,0,0,0,0,0,0
111,2009,2,2,0,0,0,2,0,0,0,0,0,0
111,2010,2,2,0,0,0,2,0,0,0,0,0,0
111,2011,2,2,0,0,0,2,0,0,0,0,0,0
111,2012,2,2,0,0,0,2,0,0,0,0,0,0
111,2013,2,2,0,0,0,2,0,0,0,0,0,0
111,2014,2,2,0,0,0,2,0,0,0,0,0,0
111,2015,2,2,0,0,0,2,0,0,0,0,0,0
112,2005,10,10,0,0,1,3,2,0,0,0,1,0
112,2006,10,10,0,0,1,3,2,0,0,0,1,0
112,2007,10,10,0,0,1,3,2,0,0,0,1,0
112,2008,10,10,0,0,1,3,2,0,0,0,1,0
112,2009,10,10,0,0,1,3,2,0,0,0,1,0
112,2010,10,10,0,0,1,3,2,0,0,0,1,0
112,2011,10,10,0,0,1,3,2,0,0,0,1,0
112,2012,10,10,0,0,1,3,2,0,0,0,1,0
112,2013,10,10,0,0,1,3,2,0,0,0,1,0
112,2014,10,10,0,0,1,3,2,0,0,0,1,0
112,2015,10,10,0,0,1,3,2,0,0,0,1,0
133,2002,2,2,0,0,0,2,0,0,0,0,0,0
133,2003,2,2,0,0,0,2,0,0,0,0,0,0
133,2004,2,2,0,0,0,2,0,0,0,0,0,0
133,2005,2,2,0,0,0,2,0,0,0,0,0,0
133,2006,2,2,0,0,0,2,0,0,0,0,0,0
133,2007,2,2,0,0,0,2,0,0,0,0,0,0
133,2008,2,2,0,0,0,2,0,0,0,0,0,0
133,2009,2,2,0,0,0,2,0,0,0,0,0,0
133,2010,2,2,0,0,0,2,0,0,0,0,0,0
133,2011,2,2,0,0,0,2,0,0,0,0,0,0
133,2012,2,2,0,0,0,2,0,0,0,0,0,0
133,2013,2,2,0,0,0,2,0,0,0,0,0,0
133,2014,2,2,0,0,0,2,0,0,0,0,0,0
133,2015,91,91,3,7,4,4,11,3,1,17,2,2
NA,2005,10,10,0,0,1,3,2,0,0,0,1,0
NA,2006,10,10,0,0,1,3,2,0,0,0,1,0
NA,2007,10,10,0,0,1,3,2,0,0,0,1,0
NA,2008,10,10,0,0,1,3,2,0,0,0,1,0
NA,2009,10,10,0,0,1,3,2,0,0,0,1,0
NA,2010,10,10,0,0,1,3,2,0,0,0,1,0
NA,2011,10,10,0,0,1,3,2,0,0,0,1,0
NA,2012,10,10,0,0,1,3,2,0,0,0,1,0
NA,2013,10,10,0,0,1,3,2,0,0,0,1,0
NA,2014,10,10,0,0,1,3,2,0,0,0,1,0
NA,2015,10,10,0,0,1,3,2,0,0,0,1,0
119,2002,2,2,0,0,0,2,0,0,0,0,0,0
119,2003,2,2,0,0,0,2,0,0,0,0,0,0
119,2004,2,2,0,0,0,2,0,0,0,0,0,0
119,2005,2,2,0,0,0,2,0,0,0,0,0,0
119,2006,2,2,0,0,0,2,0,0,0,0,0,0
119,2007,2,2,0,0,0,2,0,0,0,0,0,0
119,2008,2,2,0,0,0,2,0,0,0,0,0,0
119,2009,2,2,0,0,0,2,0,0,0,0,0,0
119,2010,2,2,0,0,0,2,0,0,0,0,0,0
119,2011,2,2,0,0,0,2,0,0,0,0,0,0
119,2012,2,2,0,0,0,2,0,0,0,0,0,0
119,2013,2,2,0,0,0,2,0,0,0,0,0,0
119,2014,2,2,0,0,0,2,0,0,0,0,0,0
119,2015,2,2,0,0,0,2,0,0,0,0,0,0
121,2003,10,10,0,0,0,2,2,0,0,0,1,2
121,2004,10,10,0,0,0,2,2,0,0,0,1,2
121,2005,10,10,0,0,0,2,2,0,0,0,1,2
121,2006,10,10,0,0,0,2,2,0,0,0,1,2
121,2007,10,10,0,0,0,2,2,0,0,0,1,2
121,2008,10,10,0,0,0,2,2,0,0,0,1,2
121,2009,10,10,0,0,0,2,2,0,0,0,1,2
121,2010,10,10,0,0,0,2,2,0,0,0,1,2
121,2011,10,10,0,0,0,2,2,0,0,0,1,2
121,2012,10,10,0,0,0,2,2,0,0,0,1,2
121,2013,10,10,0,0,0,2,2,0,0,0,1,2
121,2014,10,10,0,0,0,2,2,0,0,0,1,2
121,2015,10,10,0,0,0,2,2,0,0,0,1,2
122,2005,10,10,0,0,1,3,2,0,0,0,1,0
122,2006,10,10,0,0,1,3,2,0,0,0,1,0
122,2007,10,10,0,0,1,3,2,0,0,0,1,0
122,2008,10,10,0,0,1,3,2,0,0,0,1,0
122,2009,10,10,0,0,1,3,2,0,0,0,1,0
122,2010,10,10,0,0,1,3,2,0,0,0,1,0
122,2011,10,10,0,0,1,3,2,0,0,0,1,0
122,2012,10,10,0,0,1,3,2,0,0,0,1,0
122,2013,10,10,0,0,1,3,2,0,0,0,1,0
122,2014,10,10,0,0,1,3,2,0,0,0,1,0
122,2015,10,10,0,0,1,3,2,0,0,0,1,0
106,2005,10,10,0,0,1,3,2,0,0,0,1,0
106,2006,10,10,0,0,1,3,2,0,0,0,1,0
106,2007,10,10,0,0,1,3,2,0,0,0,1,0
106,2008,10,10,0,0,1,3,2,0,0,0,1,0
106,2009,10,10,0,0,1,3,2,0,0,0,1,0
106,2010,10,10,0,0,1,3,2,0,0,0,1,0
106,2011,10,10,0,0,1,3,2,0,0,0,1,0
106,2012,10,10,0,0,1,3,2,0,0,0,1,0
106,2013,10,10,0,0,1,3,2,0,0,0,1,0
106,2014,10,10,0,0,1,3,2,0,0,0,1,0
106,2015,10,10,0,0,1,3,2,0,0,0,1,0
609,2008,62,62,0,0,2,5,11,3,0,9,1,1
609,2009,62,62,0,0,2,5,11,3,0,9,1,1
609,2010,62,62,0,0,2,5,11,3,0,9,1,1
609,2011,62,62,0,0,2,5,11,3,0,9,1,1
609,2012,62,62,0,0,2,5,11,3,0,9,1,1
609,2013,62,62,0,0,2,5,11,3,0,9,1,1
609,2014,62,62,0,0,2,5,11,3,0,9,1,1
609,2015,62,62,0,0,2,5,11,3,0,9,1,1
127,2007,15,15,0,0,1,2,1,3,0,0,3,0
127,2008,15,15,0,0,1,2,1,3,0,0,3,0
127,2009,15,15,0,0,1,2,1,3,0,0,3,0
127,2010,15,15,0,0,1,2,1,3,0,0,3,0
127,2011,15,15,0,0,1,2,1,3,0,0,3,0
127,2012,15,15,0,0,1,2,1,3,0,0,3,0
127,2013,15,15,0,0,1,2,1,3,0,0,3,0
127,2014,15,15,0,0,1,2,1,3,0,0,3,0
127,2015,15,15,0,0,1,2,1,3,0,0,3,0
434,2010,60,60,0,0,2,3,11,3,1,13,4,1
434,2011,60,60,0,0,2,3,11,3,1,13,4,1
434,2012,60,60,0,0,2,3,11,3,1,13,4,1
434,2013,60,60,0,0,2,3,11,3,1,13,4,1
434,2014,60,60,0,0,2,3,11,3,1,13,4,1
434,2015,60,60,0,0,2,3,11,3,1,13,4,1
129,2005,10,10,0,0,1,3,2,0,0,0,1,0
129,2006,10,10,0,0,1,3,2,0,0,0,1,0
129,2007,10,10,0,0,1,3,2,0,0,0,1,0
129,2008,10,10,0,0,1,3,2,0,0,0,1,0
129,2009,10,10,0,0,1,3,2,0,0,0,1,0
129,2010,10,10,0,0,1,3,2,0,0,0,1,0
129,2011,10,10,0,0,1,3,2,0,0,0,1,0
129,2012,10,10,0,0,1,3,2,0,0,0,1,0
129,2013,10,10,0,0,1,3,2,0,0,0,1,0
129,2014,10,10,0,0,1,3,2,0,0,0,1,0
129,2015,10,10,0,0,1,3,2,0,0,0,1,0
132,2005,10,10,0,0,1,3,2,0,0,0,1,0
132,2006,10,10,0,0,1,3,2,0,0,0,1,0
132,2007,10,10,0,0,1,3,2,0,0,0,1,0
132,2008,10,10,0,0,1,3,2,0,0,0,1,0
132,2009,22,22,0,0,2,3,4,3,0,1,1,0
132,2010,22,22,0,0,2,3,4,3,0,1,1,0
132,2011,22,22,0,0,2,3,4,3,0,1,1,0
132,2012,22,22,0,0,2,3,4,3,0,1,1,0
132,2013,22,22,0,0,2,3,4,3,0,1,1,0
132,2014,22,22,0,0,2,3,4,3,0,1,1,0
132,2015,22,22,0,0,2,3,4,3,0,1,1,0
134,2002,2,2,0,0,0,2,0,0,0,0,0,0
134,2003,2,2,0,0,0,2,0,0,0,0,0,0
134,2004,2,2,0,0,0,2,0,0,0,0,0,0
134,2005,2,2,0,0,0,2,0,0,0,0,0,0
134,2006,2,2,0,0,0,2,0,0,0,0,0,0
134,2007,2,2,0,0,0,2,0,0,0,0,0,0
134,2008,2,2,0,0,0,2,0,0,0,0,0,0
134,2009,2,2,0,0,0,2,0,0,0,0,0,0
134,2010,2,2,0,0,0,2,0,0,0,0,0,0
134,2011,2,2,0,0,0,2,0,0,0,0,0,0
134,2012,2,2,0,0,0,2,0,0,0,0,0,0
134,2013,2,2,0,0,0,2,0,0,0,0,0,0
134,2014,2,2,0,0,0,2,0,0,0,0,0,0
134,2015,2,2,0,0,0,2,0,0,0,0,0,0
331,2014,69,69,2,6,2,3,10,5,1,6,1,2
331,2015,69,69,2,6,2,3,10,5,1,6,1,2
136,2005,10,10,0,0,1,3,2,0,0,0,1,0
136,2006,10,10,0,0,1,3,2,0,0,0,1,0
136,2007,10,10,0,0,1,3,2,0,0,0,1,0
136,2008,10,10,0,0,1,3,2,0,0,0,1,0
136,2009,10,10,0,0,1,3,2,0,0,0,1,0
136,2010,10,10,0,0,1,3,2,0,0,0,1,0
136,2011,10,10,0,0,1,3,2,0,0,0,1,0
136,2012,10,10,0,0,1,3,2,0,0,0,1,0
136,2013,10,10,0,0,1,3,2,0,0,0,1,0
136,2014,10,10,0,0,1,3,2,0,0,0,1,0
136,2015,10,10,0,0,1,3,2,0,0,0,1,0
141,2005,10,10,0,0,1,3,2,0,0,0,1,0
141,2006,10,10,0,0,1,3,2,0,0,0,1,0
141,2007,10,10,0,0,1,3,2,0,0,0,1,0
141,2008,10,10,0,0,1,3,2,0,0,0,1,0
141,2009,10,10,0,0,1,3,2,0,0,0,1,0
141,2010,10,10,0,0,1,3,2,0,0,0,1,0
141,2011,10,10,0,0,1,3,2,0,0,0,1,0
141,2012,10,10,0,0,1,3,2,0,0,0,1,0
141,2013,10,10,0,0,1,3,2,0,0,0,1,0
141,2014,10,10,0,0,1,3,2,0,0,0,1,0
141,2015,10,10,0,0,1,3,2,0,0,0,1,0
